Date;Package Name;Acquisition Channel;Store Listing Visitors;Installers;Visitor-to-Installer conversion rate;Installers retained for 1 day;Installer-to-1 day retention rate;Installers retained for 7 days;Installer-to-7 days retention rate;Installers retained for 15 days;Installer-to-15 days retention rate;Installers retained for 30 days;Installer-to-30 days retention rate
26/10/2019;B4 Bank;Tracked channels (UTM);428;12;0.028;8;0.667;8;0.667;7;0.583;7;0.583
26/10/2019;B4 Bank;Third-party referrers;2107;173;0.082;130;0.751;105;0.607;92;0.532;86;0.497
26/10/2019;B4 Bank;Other;96;14;0.146;14;1.000;12;0.857;11;0.786;11;0.786
27/10/2019;B4 Bank;Organic;2069;413;0.200;376;0.910;366;0.886;357;0.864;348;0.843
27/10/2019;B4 Bank;Tracked channels (UTM);296;10;0.034;8;0.800;7;0.700;7;0.700;7;0.700
27/10/2019;B4 Bank;Third-party referrers;2050;178;0.087;111;0.624;84;0.472;78;0.438;72;0.404
27/10/2019;B4 Bank;Other;77;9;0.117;8;0.889;8;0.889;8;0.889;8;0.889
28/10/2019;B4 Bank;Organic;1532;270;0.176;240;0.889;220;0.815;208;0.770;195;0.722
28/10/2019;B4 Bank;Tracked channels (UTM);314;15;0.048;10;0.667;8;0.533;8;0.533;6;0.400
28/10/2019;B4 Bank;Third-party referrers;1590;148;0.093;108;0.730;86;0.581;78;0.527;71;0.480
28/10/2019;B4 Bank;Other;64;12;0.188;11;0.917;10;0.833;9;0.750;9;0.750
29/10/2019;B4 Bank;Organic;1326;258;0.195;207;0.802;193;0.748;184;0.713;175;0.678
29/10/2019;B4 Bank;Tracked channels (UTM);268;11;0.041;8;0.727;5;0.455;4;0.364;4;0.364
29/10/2019;B4 Bank;Third-party referrers;1102;115;0.104;76;0.661;69;0.600;64;0.557;55;0.478
29/10/2019;B4 Bank;Other;55;12;0.218;7;0.583;6;0.500;6;0.500;6;0.500
30/10/2019;B4 Bank;Organic;2457;545;0.222;437;0.802;402;0.738;386;0.708;374;0.686
30/10/2019;B4 Bank;Tracked channels (UTM);207;15;0.072;8;0.533;6;0.400;6;0.400;6;0.400
30/10/2019;B4 Bank;Third-party referrers;2625;207;0.079;123;0.594;104;0.502;96;0.464;83;0.401
30/10/2019;B4 Bank;Other;96;18;0.188;14;0.778;13;0.722;12;0.667;12;0.667
